quarter,actual,predicted,error
2013Q1,-1.1,0.25618966977246094,-1.3561896697724611
2013Q2,-0.3,-0.6267310558306249,0.32673105583062495
2013Q3,-0.3,-0.16277541499316542,-0.13722458500683457
2013Q4,0.4,-0.8222884651102791,1.222288465110279
2014Q1,0.8,-0.021329553977179644,0.8213295539771797
2014Q2,0.9,0.5502941783973658,0.3497058216026342
2014Q3,0.7,0.8931055029844693,-0.19310550298446938
2014Q4,1.1,0.7107410187853744,0.38925898121462565
2015Q1,1.1,1.0880752623822552,0.01192473761774493
2015Q2,1.2,0.8290466471834944,0.37095335281650554
2015Q3,1.4,1.0783830637799836,0.3216169362200163
2015Q4,1.4,1.1949283682774037,0.20507163172259624
2016Q1,2.5,1.5251498329334419,0.9748501670665581
2016Q2,1.9,2.1145862371235387,-0.21458623712353875
2016Q3,2.1,1.761535720828376,0.33846427917162414
2016Q4,2.3,2.4044048392197515,-0.10440483921975163
2017Q1,2.1,3.1100760219556207,-1.0100760219556206
2017Q2,2.5,1.687412522328312,0.8125874776716879
2017Q3,2.6,2.243263095483074,0.35673690451692597
2017Q4,2.4,1.9754591027554553,0.4245408972445446
2018Q1,2.0,2.4766591474454436,-0.4766591474454436
2018Q2,2.5,2.4550687661726553,0.04493123382734465
2018Q3,2.3,2.505355830951886,-0.20535583095188636
2018Q4,2.8,2.4246965789444896,0.3753034210555102
2019Q1,3.3,2.3079603642170854,0.9920396357829144
2019Q2,1.9,3.0065666373019457,-1.1065666373019458
2019Q3,1.6,2.0020533586860774,-0.4020533586860773
2019Q4,0.0,1.8579056641814224,-1.8579056641814224
2020Q1,-2.2,-0.6957372135451858,-1.5042627864548144
2020Q2,-14.0,-2.9233632657111,-11.0766367342889
2020Q3,-4.3,-13.71191894027275,9.411918940272749
2020Q4,-5.1,-8.08473388192789,2.984733881927891
2021Q1,-4.9,-2.596360785687643,-2.303639214312357
2021Q2,13.8,-2.3507888355728257,16.150788835572826
2021Q3,5.3,7.84787304220362,-2.54787304220362
2021Q4,7.1,4.628285746133177,2.471714253866823
2022Q1,8.5,9.943034836511554,-1.4430348365115542
2022Q2,6.8,4.460313137738865,2.339686862261135
2022Q3,3.5,7.580140747034009,-4.080140747034009
2022Q4,3.2,3.359651901276822,-0.15965190127682183
2023Q1,2.8,3.3840144239858896,-0.5840144239858898
2023Q2,-1.3,0.9290243054166812,-2.229024305416681
2023Q3,-1.8,-1.4754228202144464,-0.32457717978555367
2023Q4,-2.2,-3.926781777541655,1.726781777541655
2024Q1,-2.1,-1.2496552271493413,-0.8503447728506588
2024Q2,-1.0,-2.522996942647682,1.5229969426476822
2024Q3,-0.6,-0.8173108802213381,0.21731088022133815
2024Q4,0.3,-3.733851652644446,4.033851652644446
2025Q1,0.6,1.0348771839447501,-0.43487718394475017
2025Q2,0.9,0.8864174889567338,0.013582511043266243
2025Q3,1.3,1.1367772595583872,0.1632227404416129
2025Q4,1.1,1.3902906935184747,-0.2902906935184746
2026Q1,0.9,-0.7051176748070054,1.6051176748070053
