model,n,rmse_baseline,rmse_challenger,dm_stat_squared,p_value_squared,mae_baseline,mae_challenger,dm_stat_absolute,p_value_absolute
Lasso,53,4.2610366036910845,3.604105500454995,0.7718912096706649,0.4436727726241827,2.0687066594154873,1.693942120584534,0.9031123049607678,0.37063098330165056
Random Forest,53,4.2610366036910845,3.4687160426586536,0.6898120907499614,0.49337951324925156,2.0687066594154873,1.5492401069140371,1.1080902574382083,0.2729219506897038
Neural net (PCA),53,4.2610366036910845,3.9352183117758854,0.4233411188787702,0.6737922612754734,2.0687066594154873,1.7692161359605065,0.858432086537202,0.39459364777275363
Neural net (no PCA),53,4.2610366036910845,3.2798411050486003,1.1018251226992604,0.27561153986381126,2.0687066594154873,1.6202365438096467,1.2868631308018437,0.2038412836022998
