quarter,actual,predicted,error
2013Q1,-1.1,-0.5655776246763476,-0.5344223753236524
2013Q2,-0.3,-1.2373856219001427,0.9373856219001426
2013Q3,-0.3,0.09649899478934096,-0.3964989947893409
2013Q4,0.4,0.1727432267569757,0.22725677324302432
2014Q1,0.8,0.9612709282108169,-0.1612709282108169
2014Q2,0.9,1.167214033544308,-0.26721403354430795
2014Q3,0.7,1.0928561984235718,-0.3928561984235719
2014Q4,1.1,0.6797961059120123,0.42020389408798775
2015Q1,1.1,1.0986693954415163,0.0013306045584837722
2015Q2,1.2,1.0536197100870337,0.14638028991296625
2015Q3,1.4,1.1345518465510487,0.26544815344895123
2015Q4,1.4,1.2952961405438457,0.10470385945615424
2016Q1,2.5,1.2541164503219024,1.2458835496780976
2016Q2,1.9,2.473883534836429,-0.5738835348364293
2016Q3,2.1,1.6225462842938962,0.47745371570610384
2016Q4,2.3,1.7006156469575253,0.5993843530424745
2017Q1,2.1,1.899077977310221,0.200922022689779
2017Q2,2.5,1.7325831175576614,0.7674168824423386
2017Q3,2.6,2.1588906645852095,0.4411093354147906
2017Q4,2.4,2.2663331918048337,0.1336668081951662
2018Q1,2.0,1.9990453352164559,0.0009546647835441124
2018Q2,2.5,1.5201452601397316,0.9798547398602684
2018Q3,2.3,2.182463036919859,0.11753696308014083
2018Q4,2.8,2.0046101189415038,0.7953898810584961
2019Q1,3.3,2.5575154855711153,0.7424845144288845
2019Q2,1.9,3.1085408346789354,-1.2085408346789355
2019Q3,1.6,1.3679407379373538,0.23205926206264627
2019Q4,0.0,1.072437845930946,-1.072437845930946
2020Q1,-2.2,-0.4635086036641636,-1.7364913963358366
2020Q2,-14.0,-2.6417129827033734,-11.358287017296627
2020Q3,-4.3,-23.503873456875066,19.203873456875066
2020Q4,-5.1,-14.37457478711846,9.27457478711846
2021Q1,-4.9,-1.3113260288415753,-3.588673971158425
2021Q2,13.8,3.2914386004930893,10.508561399506911
2021Q3,5.3,7.673080928435419,-2.373080928435419
2021Q4,7.1,11.22283471387378,-4.122834713873781
2022Q1,8.5,17.044910887001926,-8.544910887001926
2022Q2,6.8,-4.358232892283914,11.158232892283914
2022Q3,3.5,4.262693239937934,-0.762693239937934
2022Q4,3.2,1.4461039654444623,1.7538960345555379
2023Q1,2.8,-0.5197451181121884,3.319745118112188
2023Q2,-1.3,-0.18236469894789553,-1.1176353010521045
2023Q3,-1.8,-0.39413691509493987,-1.4058630849050602
2023Q4,-2.2,-1.640822551659155,-0.5591774483408452
2024Q1,-2.1,-2.562087219906773,0.4620872199067727
2024Q2,-1.0,-0.3954457583853625,-0.6045542416146374
2024Q3,-0.6,0.313647136300093,-0.913647136300093
2024Q4,0.3,0.9944628526145965,-0.6944628526145966
2025Q1,0.6,1.6510714401305187,-1.0510714401305186
2025Q2,0.9,1.4644851012053541,-0.5644851012053541
2025Q3,1.3,1.6268153019183882,-0.32681530191838815
2025Q4,1.1,1.445139940873264,-0.34513994087326383
2026Q1,0.9,1.3467074028787238,-0.4467074028787238
