quarter,actual,predicted,error
2013Q1,-0.4,0.11077650619609147,-0.5107765061960915
2013Q2,0.5,-0.15663895031839958,0.6566389503183996
2013Q3,0.3,-0.059165387702867944,0.35916538770286793
2013Q4,0.1,0.019546248448677528,0.08045375155132248
2014Q1,0.0,0.6475687067101012,-0.6475687067101012
2014Q2,0.5,0.361432385605236,0.138567614394764
2014Q3,0.2,0.6868182938720715,-0.4868182938720715
2014Q4,0.4,0.34145880014548224,0.05854119985451778
2015Q1,0.0,0.43032858592532314,-0.43032858592532314
2015Q2,0.6,0.16742215356320117,0.4325778464367988
2015Q3,0.4,0.35632519797140566,0.04367480202859436
2015Q4,0.4,0.24947878564135778,0.15052121435864224
2016Q1,1.1,0.1599800847864562,0.9400199152135439
2016Q2,-0.1,1.056306482158932,-1.1563064821589322
2016Q3,0.5,0.2487099236615558,0.2512900763384442
2016Q4,0.6,0.49726680467858064,0.10273319532141933
2017Q1,1.0,0.4310201870847686,0.5689798129152315
2017Q2,0.3,0.5669541923908196,-0.2669541923908196
2017Q3,0.6,1.2765319571121754,-0.6765319571121754
2017Q4,0.5,0.8209672053536824,-0.3209672053536824
2018Q1,0.6,1.2841592388026855,-0.6841592388026855
2018Q2,0.8,0.22040773287630144,0.5795922671236986
2018Q3,0.4,0.5534211624726635,-0.15342116247266346
2018Q4,0.9,0.7237562372516967,0.17624376274830333
2019Q1,1.1,0.4965674114523472,0.6034325885476529
2019Q2,-0.6,0.4221030305216431,-1.022103030521643
2019Q3,0.2,0.6668700684256743,-0.4668700684256743
2019Q4,-0.6,0.6540160822906605,-1.2540160822906605
2020Q1,-1.1,-0.7713581587671038,-0.3286418412328963
2020Q2,-12.6,-6.358335352402523,-6.241664647597477
2020Q3,11.5,-4.5828877420448455,16.082887742044846
2020Q4,-1.5,3.140354900039435,-4.640354900039435
2021Q1,-1.0,1.8982515315871886,-2.8982515315871886
2021Q2,4.6,-7.301406428541147,11.901406428541147
2021Q3,3.1,-0.6987869590287903,3.7987869590287904
2021Q4,0.3,-0.07686152263808,0.37686152263808
2022Q1,0.3,2.8462153912399444,-2.5462153912399446
2022Q2,2.9,0.04907988023153054,2.8509201197684693
2022Q3,0.0,1.3957434322764783,-1.3957434322764783
2022Q4,0.0,-0.503358852382739,0.503358852382739
2023Q1,-0.1,1.237440375977654,-1.337440375977654
2023Q2,-1.2,0.24126450600096455,-1.4412645060009646
2023Q3,-0.5,0.12193080252158728,-0.6219308025215873
2023Q4,-0.5,-0.6112287147013932,0.11122871470139317
2024Q1,0.1,-1.9148498021461413,2.0148498021461414
2024Q2,-0.2,-1.6119014784830652,1.4119014784830652
2024Q3,0.0,-0.6623314399250971,0.6623314399250971
2024Q4,0.5,-0.48101697265613486,0.9810169726561349
2025Q1,0.4,0.13705137041490112,0.2629486295850989
2025Q2,0.1,-0.4751736617738964,0.5751736617738964
2025Q3,0.4,0.18869652279623017,0.21130347720376985
2025Q4,0.2,0.40433287293007536,-0.20433287293007535
2026Q1,0.2,0.5042965160647276,-0.3042965160647276
