model,n,rmse_baseline,rmse_challenger,dm_stat_squared,p_value_squared,mae_baseline,mae_challenger,dm_stat_absolute,p_value_absolute
Lasso,49,2.768106868540475,3.045196532219196,-0.3288168742755749,0.7437244571695905,1.3891474753345885,1.3681483388187512,0.0551789002148385,0.956224976205295
Random Forest,49,2.768106868540475,3.1225890008536337,-0.36957537611532915,0.7133244288918519,1.3891474753345885,1.3608981728905876,0.09926779651968078,0.9213390718625132
Neural net (PCA),49,2.768106868540475,3.0405510742981683,-0.2708858462671475,0.787640332136679,1.3891474753345885,1.241638406468757,0.4080397189845231,0.6850589692853641
Neural net (no PCA),49,2.768106868540475,2.663787446257509,0.13304197111470478,0.8947163841349322,1.3891474753345885,1.2427547852850394,0.49138630125924715,0.6253927321522061
